tcm,tcm_index,target_gene_id
连花清瘟颗粒/胶囊,tcm-0007,110819
连花清瘟颗粒/胶囊,tcm-0007,6373
连花清瘟颗粒/胶囊,tcm-0007,55526
连花清瘟颗粒/胶囊,tcm-0007,6376
连花清瘟颗粒/胶囊,tcm-0007,240
连花清瘟颗粒/胶囊,tcm-0007,6387
连花清瘟颗粒/胶囊,tcm-0007,6390
连花清瘟颗粒/胶囊,tcm-0007,248
连花清瘟颗粒/胶囊,tcm-0007,51449
连花清瘟颗粒/胶囊,tcm-0007,6401
连花清瘟颗粒/胶囊,tcm-0007,259
连花清瘟颗粒/胶囊,tcm-0007,6439
连花清瘟颗粒/胶囊,tcm-0007,100133168
连花清瘟颗粒/胶囊,tcm-0007,2353
连花清瘟颗粒/胶囊,tcm-0007,102238523
连花清瘟颗粒/胶囊,tcm-0007,108167498
连花清瘟颗粒/胶囊,tcm-0007,331
连花清瘟颗粒/胶囊,tcm-0007,332
连花清瘟颗粒/胶囊,tcm-0007,6476
连花清瘟颗粒/胶囊,tcm-0007,643414
连花清瘟颗粒/胶囊,tcm-0007,10598
连花清瘟颗粒/胶囊,tcm-0007,6502
连花清瘟颗粒/胶囊,tcm-0007,10606
连花清瘟颗粒/胶囊,tcm-0007,367
连花清瘟颗粒/胶囊,tcm-0007,6513
连花清瘟颗粒/胶囊,tcm-0007,6514
连花清瘟颗粒/胶囊,tcm-0007,6515
连花清瘟颗粒/胶囊,tcm-0007,6517
连花清瘟颗粒/胶囊,tcm-0007,6528
连花清瘟颗粒/胶囊,tcm-0007,6530
连花清瘟颗粒/胶囊,tcm-0007,6531
连花清瘟颗粒/胶囊,tcm-0007,6532
连花清瘟颗粒/胶囊,tcm-0007,414089
连花清瘟颗粒/胶囊,tcm-0007,100034956
连花清瘟颗粒/胶囊,tcm-0007,4504
连花清瘟颗粒/胶囊,tcm-0007,6566
连花清瘟颗粒/胶囊,tcm-0007,4524
连花清瘟颗粒/胶囊,tcm-0007,8626
连花清瘟颗粒/胶囊,tcm-0007,6580
连花清瘟颗粒/胶囊,tcm-0007,6584
连花清瘟颗粒/胶囊,tcm-0007,29123
连花清瘟颗粒/胶囊,tcm-0007,8644
连花清瘟颗粒/胶囊,tcm-0007,29126
连花清瘟颗粒/胶囊,tcm-0007,8648
连花清瘟颗粒/胶囊,tcm-0007,319954
连花清瘟颗粒/胶囊,tcm-0007,4582
连花清瘟颗粒/胶囊,tcm-0007,2538
连花清瘟颗粒/胶囊,tcm-0007,2550
连花清瘟颗粒/胶囊,tcm-0007,6647
连花清瘟颗粒/胶囊,tcm-0007,6649
连花清瘟颗粒/胶囊,tcm-0007,4602
连花清瘟颗粒/胶囊,tcm-0007,23038
连花清瘟颗粒/胶囊,tcm-0007,117247
连花清瘟颗粒/胶囊,tcm-0007,4609
连花清瘟颗粒/胶囊,tcm-0007,4613
连花清瘟颗粒/胶囊,tcm-0007,90637
连花清瘟颗粒/胶囊,tcm-0007,10768
连花清瘟颗粒/胶囊,tcm-0007,51738
连花清瘟颗粒/胶囊,tcm-0007,27165
连花清瘟颗粒/胶囊,tcm-0007,2596
连花清瘟颗粒/胶囊,tcm-0007,2597
连花清瘟颗粒/胶囊,tcm-0007,55848
连花清瘟颗粒/胶囊,tcm-0007,572
连花清瘟颗粒/胶囊,tcm-0007,115489344
连花清瘟颗粒/胶囊,tcm-0007,581
连花清瘟颗粒/胶囊,tcm-0007,590
连花清瘟颗粒/胶囊,tcm-0007,593
连花清瘟颗粒/胶囊,tcm-0007,595
连花清瘟颗粒/胶囊,tcm-0007,596
连花清瘟颗粒/胶囊,tcm-0007,598
连花清瘟颗粒/胶囊,tcm-0007,51802
连花清瘟颗粒/胶囊,tcm-0007,51805
连花清瘟颗粒/胶囊,tcm-0007,6750
连花清瘟颗粒/胶囊,tcm-0007,8804
连花清瘟颗粒/胶囊,tcm-0007,2660
连花清瘟颗粒/胶囊,tcm-0007,51816
连花清瘟颗粒/胶囊,tcm-0007,10864
连花清瘟颗粒/胶囊,tcm-0007,6772
连花清瘟颗粒/胶囊,tcm-0007,6774
连花清瘟颗粒/胶囊,tcm-0007,632
连花清瘟颗粒/胶囊,tcm-0007,4744
连花清瘟颗粒/胶囊,tcm-0007,2697
连花清瘟颗粒/胶囊,tcm-0007,654
连花清瘟颗粒/胶囊,tcm-0007,150159
连花清瘟颗粒/胶囊,tcm-0007,100049555
连花清瘟颗粒/胶囊,tcm-0007,2720
连花清瘟颗粒/胶囊,tcm-0007,4772
连花清瘟颗粒/胶囊,tcm-0007,4773
连花清瘟颗粒/胶囊,tcm-0007,8877
连花清瘟颗粒/胶囊,tcm-0007,4783
连花清瘟颗粒/胶囊,tcm-0007,8884
连花清瘟颗粒/胶囊,tcm-0007,695
连花清瘟颗粒/胶囊,tcm-0007,4792
连花清瘟颗粒/胶囊,tcm-0007,699
连花清瘟颗粒/胶囊,tcm-0007,162514
连花清瘟颗粒/胶囊,tcm-0007,728
连花清瘟颗粒/胶囊,tcm-0007,4835
连花清瘟颗粒/胶囊,tcm-0007,4843
连花清瘟颗粒/胶囊,tcm-0007,4846
连花清瘟颗粒/胶囊,tcm-0007,64240
